key,dateCreated,latitude,longitude,altitude,deviceId,entryId,lastEdited,timeUploaded,projectName,photo,artist,title,typeart,notes,condition,appropiate,feeling,collector,
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkcg4LEgVFbnRyeRiMy9wBDA,2011-09-11 19:03:51,38.04956592,-84.49254947,272.799987793,A00000288B2521,A00000288B2521_1315767831976,2011-09-12 00:12:52.080186,2011-09-11 20:22:11.221310,urbanartproject,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkcg4LEgVFbnRyeRiMy9wBDA","N/A","N/A","paintobject","Storm sewer","2slight","2somewhatapp","happy","Stieha",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkcg4LEgVFbnRyeRiNy9wBDA,2011-09-11 19:09:24,38.05192707,-84.49531861,269.700012207,A00000288B2521,A00000288B2521_1315768164716,2011-09-12 00:13:45.097821,2011-09-11 20:22:25.219047,urbanartproject,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkcg4LEgVFbnRyeRiNy9wBDA","N/A","N/A","paintobject","Storm sewer","2slight","1veryapp","happy","Stieha",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkcg4LEgVFbnRyeRjc2twBDA,2011-09-11 18:23:29,38.04356171,-84.49175446,276.0,A00000288B2521,A00000288B2521_1315765409860,2011-11-29 00:58:51.163307,2011-09-11 20:21:27.279323,urbanartproject,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkcg4LEgVFbnRyeRjc2twBDA","N/A","N/A","paintwall","N/A","1perfect","1veryapp","","Stieha",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkcg4LEgVFbnRyeRjd2twBDA,2011-09-11 19:17:33,38.05497928,-84.49872707,264.100006104,A00000288B2521,A00000288B2521_1315768653646,2011-09-12 00:14:08.716384,2011-09-11 20:22:47.157045,urbanartproject,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkcg4LEgVFbnRyeRjd2twBDA","N/A","N/A","paintobject","Storm sewer","2slight","1veryapp","happy,peaceful","Stieha",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkcg4LEgVFbnRyeRik8twBDA,2011-09-11 18:36:11,38.04737476,-84.49551806,281.600006104,A00000288B2521,A00000288B2521_1315766171993,2011-09-12 00:14:39.803613,2011-09-11 20:21:37.593582,urbanartproject,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkcg4LEgVFbnRyeRik8twBDA","N/A","N/A","paintobject","Storm sewer","2slight","1veryapp","peaceful","Stieha",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkcg4LEgVFbnRyeRj2-dwBDA,2011-09-11 18:41:49,38.04891125,-84.49350173,268.399993896,A00000288B2521,A00000288B2521_1315766509023,2011-09-12 00:15:20.457454,2011-09-11 20:21:54.495704,urbanartproject,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkcg4LEgVFbnRyeRj2-dwBDA","N/A","N/A","paintobject","Storm sewer","2slight","1veryapp","happy","Stieha",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkcg4LEgVFbnRyeRiK_t0BDA,2011-09-11 18:16:53,38.04460118,-84.49464232,293.799987793,A00000288B2521,A00000288B2521_1315765013278,2011-09-12 00:15:43.286055,2011-09-11 20:21:16.212772,urbanartproject,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkcg4LEgVFbnRyeRiK_t0BDA","N/A","N/A","none","window display","1perfect","1veryapp","","Stieha",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkcg4LEgVFbnRyeRj0hd4BDA,2011-09-13 15:12:42.881000,38.03300415,-84.50919881,272.899993896,A00000288B2521,A00000288B2521_1315926762881,2011-09-13 15:12:42.881000,2011-09-13 15:23:55.217020,urbanartproject,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkcg4LEgVFbnRyeRj0hd4BDA","N/A","N/A","paintobject","Horse young","1prefect","1veryapp","happy","Stieha",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkcg4LEgVFbnRyeRj_hd4BDA,2011-09-14 15:24:44.895000,38.03811322,-84.50161981,263.700012207,A1000017B05968,A1000017B05968_1316013884895,2011-09-14 15:24:44.895000,2011-09-14 15:44:27.309581,urbanartproject,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkcg4LEgVFbnRyeRj_hd4BDA","N/A","N/A","Null","N/A","Null","Null","","N/A",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkcg4LEgVFbnRyeRjajd4BDA,2011-09-13 15:06:58.468000,38.03298355,-84.50909954,300.600006104,A00000288B2521,A00000288B2521_1315926418468,2011-09-13 15:06:58.468000,2011-09-13 15:23:42.105162,urbanartproject,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkcg4LEgVFbnRyeRjajd4BDA","N/A","N/A","paintobject","Horse","1prefect","1veryapp","peaceful","Stieha",
